,metro_area,per_capita_income
0,"Abilene, TX",43140.0
1,"Akron, OH",49423.0
2,"Albany, GA",37500.0
3,"Albany, OR",42891.0
4,"Albany, NY",58104.0
5,"Albuquerque, NM",42536.0
6,"Alexandria, LA",43995.0
7,"Allentown, PA",54120.0
8,"Altoona, PA",46743.0
9,"Amarillo, TX",46131.0
10,"Ames, IA",43519.0
11,"Anchorage, AK",60953.0
12,"Ann Arbor, MI",59363.0
13,"Anniston, AL",37120.0
14,"Appleton, WI",51134.0
15,"Asheville, NC",45433.0
16,"Athens, GA",40690.0
17,"Atlanta, GA",52473.0
18,"Atlantic City, NJ",48668.0
19,"Auburn, AL",38036.0
20,"Augusta, GA",42053.0
21,"Austin, TX",58773.0
22,"Bakersfield, CA",39703.0
23,"Baltimore, MD",62402.0
24,"Bangor, ME",42053.0
25,"Barnstable Town, MA",74756.0
26,"Baton Rouge, LA",48042.0
27,"Battle Creek, MI",40276.0
28,"Bay City, MI",41722.0
29,"Beaumont, TX",44527.0
30,"Beckley, WV",38717.0
31,"Bellingham, WA",48792.0
32,"Bend, OR",55143.0
33,"Billings, MT",52019.0
34,"Binghamton, NY",44817.0
35,"Birmingham, AL",50979.0
36,"Bismarck, ND",56564.0
37,"Blacksburg, VA",38538.0
38,"Bloomington, IL",49180.0
39,"Bloomington, IN",41947.0
40,"Bloomsburg, PA",45527.0
41,"Boise City, ID",45973.0
42,"Boston, MA",78694.0
43,"Boulder, CO",73394.0
44,"Bowling Green, KY",36740.0
45,"Bremerton, WA",56244.0
46,"Bridgeport, CT",120630.0
47,"Brownsville, TX",28756.0
48,"Brunswick, GA",41092.0
49,"Buffalo, NY",50414.0
50,"Burlington, NC",39342.0
51,"Burlington, VT",57575.0
52,"California, MD",56820.0
53,"Canton, OH",44767.0
54,"Cape Coral, FL",51266.0
55,"Cape Girardeau, MO",43850.0
56,"Carbondale, IL",40701.0
57,"Carson City, NV",50754.0
58,"Casper, WY",69379.0
59,"Cedar Rapids, IA",52168.0
60,"Chambersburg, PA",46403.0
61,"Champaign, IL",45975.0
62,"Charleston, WV",44053.0
63,"Charleston, SC",50958.0
64,"Charlotte, NC",52176.0
65,"Charlottesville, VA",66577.0
66,"Chattanooga, TN",45900.0
67,"Cheyenne, WY",52039.0
68,"Chicago, IL",61089.0
69,"Chico, CA",44346.0
70,"Cincinnati, OH",54176.0
71,"Clarksville, TN",39991.0
72,"Cleveland, TN",38371.0
73,"Cleveland, OH",53738.0
74,"Coeur d'Alene, ID",44987.0
75,"College Station, TX",39533.0
76,"Colorado Springs, CO",48492.0
77,"Columbia, MO",46510.0
78,"Columbia, SC",44906.0
79,"Columbus, GA",41067.0
80,"Columbus, IN",49922.0
81,"Columbus, OH",51165.0
82,"Corpus Christi, TX",44311.0
83,"Corvallis, OR",47019.0
84,"Crestview, FL",51655.0
85,"Cumberland, MD",40049.0
86,"Dallas, TX",55886.0
87,"Dalton, GA",36316.0
88,"Danville, IL",39481.0
89,"Daphne, AL",45596.0
90,"Davenport, IA",49172.0
91,"Dayton, OH",47687.0
92,"Decatur, AL",38719.0
93,"Decatur, IL",48214.0
94,"Deltona, FL",43028.0
95,"Denver, CO",64287.0
96,"Des Moines, IA",54098.0
97,"Detroit, MI",53086.0
98,"Dothan, AL",40883.0
99,"Dover, DE",42023.0
100,"Dubuque, IA",49085.0
101,"Duluth, MN",46250.0
102,"Durham, NC",54036.0
103,"East Stroudsburg, PA",42722.0
104,"Eau Claire, WI",47450.0
105,"El Centro, CA",36974.0
106,"Elizabethtown, KY",42144.0
107,"Elkhart, IN",46816.0
108,"Elmira, NY",44373.0
109,"El Paso, TX",35836.0
110,"Enid, OK",44465.0
111,"Erie, PA",44903.0
112,"Eugene, OR",45919.0
113,"Evansville, IN",47313.0
114,"Fairbanks, AK",56606.0
115,"Fargo, ND",52712.0
116,"Farmington, NM",35453.0
117,"Fayetteville, NC",36903.0
118,"Fayetteville, AR",65306.0
119,"Flagstaff, AZ",48129.0
120,"Flint, MI",41068.0
121,"Florence, SC",40413.0
122,"Florence, AL",37608.0
