,metro_area,Median_Home_Rent_1_18,Median_Home_Rent_2_18,Median_Home_Rent_3_18,Median_Home_Rent_4_18,Median_Home_Rent_5_18,Median_Home_Rent_6_18,Median_Home_Rent_7_18,Median_Home_Rent_8_18,Median_Home_Rent_9_18,Median_Home_Rent_10_18,Median_Home_Rent_11_18,Median_Home_Rent_12_18,Rent_Average_2018
0,"New York, NY",2688,2707,2717,2732,2747,2759,2766,2768,2765,2759,2749,2737,2741.1666666666665
1,"Los Angeles, CA",2433,2449,2452,2463,2476,2487,2495,2513,2522,2529,2533,2529,2490.0833333333335
2,"Chicago, IL",1726,1737,1746,1755,1770,1780,1787,1784,1773,1760,1751,1751,1760.0
3,"Dallas, TX",1518,1527,1529,1532,1541,1553,1561,1559,1561,1568,1570,1562,1548.4166666666667
4,"Philadelphia, PA",1503,1515,1523,1533,1544,1547,1548,1551,1554,1556,1557,1557,1540.6666666666667
5,"Houston, TX",1500,1506,1510,1525,1522,1526,1534,1532,1528,1523,1519,1512,1519.75
6,"Washington, DC",2078,2086,2087,2106,2122,2135,2145,2145,2141,2137,2133,2127,2120.1666666666665
7,"Miami, FL",1888,1895,1892,1898,1898,1906,1913,1920,1927,1934,1941,1939,1912.5833333333333
8,"Atlanta, GA",1431,1442,1449,1457,1471,1480,1491,1500,1509,1514,1516,1515,1481.25
9,"Boston, MA",2446,2466,2483,2498,2517,2526,2533,2521,2506,2503,2491,2490,2498.3333333333335
10,"San Francisco, CA",3077,3090,3103,3126,3136,3162,3188,3199,3202,3192,3191,3193,3154.9166666666665
11,"Detroit, MI",1163,1171,1174,1184,1194,1202,1206,1208,1206,1207,1208,1201,1193.6666666666667
12,"Riverside, CA",1799,1820,1824,1838,1846,1858,1870,1877,1886,1894,1887,1891,1857.5
13,"Phoenix, AZ",1253,1263,1276,1289,1301,1311,1322,1332,1337,1342,1350,1354,1310.8333333333333
14,"Seattle, WA",1855,1870,1879,1895,1915,1926,1939,1947,1938,1934,1921,1914,1911.0833333333333
15,"Minneapolis, MN",1484,1491,1495,1507,1514,1522,1532,1534,1530,1529,1530,1529,1516.4166666666667
16,"San Diego, CA",2214,2228,2234,2243,2274,2292,2305,2319,2323,2317,2312,2302,2280.25
17,"St. Louis, MO",1061,1063,1062,1072,1083,1087,1089,1092,1090,1084,1081,1079,1078.5833333333333
18,"Tampa, FL",1416,1422,1428,1439,1451,1459,1462,1466,1466,1464,1474,1471,1451.5
19,"Baltimore, MD",1653,1669,1662,1673,1681,1688,1689,1686,1684,1683,1678,1670,1676.3333333333333
20,"Denver, CO",1667,1680,1684,1699,1713,1723,1737,1745,1742,1735,1737,1730,1716.0
21,"Pittsburgh, PA",1044,1058,1060,1064,1072,1074,1080,1084,1080,1085,1077,1083,1071.75
22,"Portland, OR",1556,1565,1568,1581,1591,1603,1611,1619,1618,1611,1610,1602,1594.5833333333333
23,"Charlotte, NC",1383,1391,1399,1409,1423,1432,1438,1445,1444,1448,1454,1451,1426.4166666666667
24,"Sacramento, CA",1652,1663,1673,1668,1692,1709,1719,1729,1727,1728,1726,1745,1702.5833333333333
25,"San Antonio, TX",1284,1296,1299,1298,1304,1315,1323,1329,1328,1324,1324,1324,1312.3333333333333
26,"Orlando, FL",1481,1495,1506,1514,1521,1536,1543,1547,1549,1551,1547,1545,1527.9166666666667
27,"Cincinnati, OH",1133,1137,1144,1148,1158,1161,1165,1168,1174,1181,1176,1183,1160.6666666666667
28,"Cleveland, OH",1060,1063,1068,1072,1073,1081,1082,1091,1093,1093,1092,1086,1079.5
29,"Kansas City, MO",1137,1142,1141,1150,1160,1165,1165,1172,1170,1167,1171,1163,1158.5833333333333
30,"Las Vegas, NV",1277,1287,1298,1307,1320,1328,1339,1350,1356,1357,1362,1363,1328.6666666666667
31,"Columbus, OH",1216,1222,1234,1236,1248,1254,1257,1257,1259,1257,1256,1256,1246.0
32,"Indianapolis, IN",1177,1178,1186,1188,1192,1200,1209,1207,1209,1211,1207,1201,1197.0833333333333
33,"San Jose, CA",2967,2980,3000,3025,3050,3096,3110,3119,3115,3096,3092,3068,3059.8333333333335
34,"Austin, TX",1484,1493,1498,1508,1520,1535,1549,1558,1558,1558,1560,1551,1531.0
35,"Virginia Beach, VA",1300,1306,1315,1324,1325,1326,1332,1332,1333,1335,1333,1332,1324.4166666666667
36,"Nashville, TN",1518,1516,1528,1539,1547,1561,1563,1555,1553,1565,1556,1545,1545.5
37,"Providence, RI",1424,1443,1462,1472,1491,1491,1492,1470,1457,1449,1462,1454,1463.9166666666667
