,metro_area,Median_Home_Price_1_18,Median_Home_Price_2_18,Median_Home_Price_3_18,Median_Home_Price_4_18,Median_Home_Price_5_18,Median_Home_Price_6_18,Median_Home_Price_7_18,Median_Home_Price_8_18,Median_Home_Price_9_18,Median_Home_Price_10_18,Median_Home_Price_11_18,Median_Home_Price_12_18,Sales_Average_2018
0,"New York, NY",398500.0,395500.0,394667.0,395000.0,401666.0,410000.0,420000.0,425333.0,425333.0,417000.0,411000.0,404333.0,408194.3333333333
1,"Los Angeles, CA",612666.0,615666.0,620667.0,632333.0,639333.0,646667.0,651667.0,651952.0,646952.0,643618.0,641667.0,637667.0,636737.9166666666
2,"Chicago, IL",218833.0,218500.0,222167.0,230000.0,237333.0,243667.0,245333.0,243300.0,236633.0,229754.0,226121.0,222788.0,231202.41666666666
3,"Dallas, TX",251921.0,253588.0,255482.0,261661.0,268327.0,273333.0,276667.0,274000.0,267333.0,261333.0,258663.0,259997.0,263525.4166666667
4,"Philadelphia, PA",228300.0,225667.0,224000.0,229000.0,235000.0,241667.0,246667.0,251000.0,247833.0,242500.0,237467.0,235633.0,237061.16666666666
5,"Houston, TX",224089.0,223756.0,224323.0,231330.0,237497.0,241497.0,242500.0,240907.0,236907.0,232636.0,230729.0,234063.0,233352.83333333334
6,"Washington, DC",387982.0,388000.0,388000.0,398000.0,409333.0,415152.0,417318.0,414652.0,407500.0,399098.0,394431.0,399098.0,401547.0
7,"Miami, FL",270000.0,269000.0,270667.0,274000.0,278333.0,283333.0,285582.0,285582.0,280582.0,280000.0,281667.0,283333.0,278506.5833333333
8,"Atlanta, GA",228300.0,229967.0,231100.0,237216.0,243648.0,247797.0,248681.0,245549.0,244133.0,243433.0,243670.0,242837.0,240527.58333333334
9,"Boston, MA",422300.0,420646.0,424646.0,436480.0,448133.0,462467.0,469967.0,473333.0,458333.0,444667.0,438000.0,435667.0,444553.25
10,"San Francisco, CA",746667.0,737333.0,760667.0,807333.0,840000.0,855500.0,852833.0,831167.0,802000.0,796000.0,796000.0,786333.0,800986.0833333334
11,"Detroit, MI",171500.0,169167.0,168500.0,172500.0,179167.0,185067.0,189567.0,191567.0,187400.0,183700.0,178867.0,177800.0,179566.83333333334
12,"Riverside, CA",352667.0,357667.0,359333.0,362667.0,362667.0,364667.0,367000.0,365333.0,365000.0,361000.0,361000.0,360667.0,361639.0
13,"Phoenix, AZ",260196.0,262863.0,265000.0,266667.0,269000.0,272000.0,275440.0,275440.0,275656.0,275883.0,277517.0,278633.0,271191.25
14,"Seattle, WA",450945.0,457612.0,462705.0,483317.0,491650.0,494650.0,487833.0,478740.0,470313.0,463386.0,460046.0,459952.0,471762.4166666667
15,"Minneapolis, MN",247796.0,248463.0,250979.0,255833.0,261833.0,265000.0,266667.0,265633.0,264633.0,264967.0,265000.0,264333.0,260094.75
16,"San Diego, CA",553167.0,552500.0,555500.0,568000.0,579667.0,586667.0,590000.0,594667.0,595667.0,590667.0,587667.0,581417.0,577965.5
17,"St. Louis, MO",173671.0,172038.0,171667.0,178233.0,183233.0,188400.0,189483.0,187817.0,183650.0,180000.0,177633.0,178300.0,180343.75
18,"Tampa, FL",212433.0,210300.0,211300.0,213667.0,217500.0,221333.0,224667.0,225832.0,224498.0,222832.0,224000.0,225208.0,219464.16666666666
19,"Baltimore, MD",282167.0,273833.0,270833.0,275333.0,286250.0,295583.0,301404.0,303820.0,302454.0,299133.0,298347.0,296380.0,290461.4166666667
20,"Denver, CO",390592.0,400000.0,405794.0,415794.0,420794.0,425667.0,424000.0,420667.0,414667.0,411656.0,409989.0,410322.0,412495.1666666667
21,"Pittsburgh, PA",156400.0,154567.0,156900.0,161167.0,164833.0,171500.0,174833.0,177000.0,172000.0,166500.0,162167.0,161500.0,164947.25
22,"Portland, OR",376663.0,380833.0,385500.0,388833.0,394333.0,399459.0,398926.0,399259.0,392933.0,391767.0,387998.0,387015.0,390293.25
23,"Charlotte, NC",237300.0,237300.0,234000.0,240332.0,244332.0,250673.0,251675.0,252675.0,247000.0,245333.0,245333.0,248667.0,244551.66666666666
24,"Sacramento, CA",388667.0,389667.0,391333.0,400250.0,405250.0,409750.0,411167.0,409333.0,408167.0,404833.0,405667.0,402333.0,402201.4166666667
25,"San Antonio, TX",217912.0,216245.0,214578.0,216633.0,222967.0,226817.0,230017.0,230350.0,226516.0,223599.0,220933.0,222250.0,222401.41666666666
26,"Orlando, FL",245126.0,245126.0,245796.0,245849.0,249183.0,251516.0,253333.0,255000.0,255997.0,255997.0,255997.0,256667.0,251298.91666666666
27,"Cincinnati, OH",168667.0,167000.0,168333.0,172167.0,177167.0,179950.0,181783.0,181783.0,178500.0,175555.0,175522.0,175688.0,175176.25
28,"Cleveland, OH",139917.0,135800.0,135267.0,138883.0,143167.0,148033.0,150250.0,152000.0,150467.0,147967.0,144800.0,141833.0,144032.0
29,"Kansas City, MO",200000.0,199983.0,203317.0,208317.0,215000.0,218917.0,220750.0,218167.0,212583.0,209709.0,209142.0,209433.0,210443.16666666666
30,"Las Vegas, NV",269795.0,272935.0,274268.0,279667.0,284333.0,287167.0,287167.0,287333.0,291500.0,294833.0,298000.0,298948.0,285495.5
31,"Columbus, OH",193354.0,196187.0,195354.0,195317.0,198067.0,204233.0,208083.0,206967.0,201467.0,198633.0,197000.0,198500.0,199430.16666666666
32,"Indianapolis, IN",166333.0,164667.0,166667.0,172708.0,179358.0,185025.0,187317.0,185667.0,181633.0,178467.0,178133.0,178833.0,177067.33333333334
33,"San Jose, CA",973333.0,1005000.0,1071667.0,1138333.0,1171000.0,1159333.0,1138333.0,1124167.0,1084167.0,1088500.0,1055167.0,1038167.0,1087263.9166666667
34,"Austin, TX",296965.0,299898.0,297927.0,304762.0,311085.0,318490.0,318323.0,318667.0,313300.0,309967.0,303300.0,303333.0,308001.4166666667
35,"Virginia Beach, VA",238580.0,239613.0,240947.0,241667.0,245650.0,249983.0,253283.0,251300.0,247717.0,246083.0,243883.0,242467.0,245097.75
36,"Nashville, TN",266177.0,266211.0,266076.0,270300.0,275300.0,280967.0,285667.0,287333.0,281667.0,277613.0,275022.0,280688.0,276085.0833333333
